Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tyler Cook,SF,23,DET,28,1,421,5.8,8.6,1.5,3.0,0.1,0.2,5.7,8.4,2.3,5.6,8.0,1.3,0.7,0.2,1.7,2.8,13.2
DeMarcus Cousins,C,30,TOT,41,11,713,6.6,15.4,3.0,4.1,2.4,6.8,4.2,8.6,2.7,10.6,13.3,3.8,1.7,1.2,3.2,5.4,18.5
DeMarcus Cousins,C,30,HOU,25,11,506,5.6,14.9,3.1,4.2,2.8,8.3,2.8,6.7,2.1,11.5,13.6,4.3,1.5,1.3,2.8,5.3,17.1
DeMarcus Cousins,C,30,LAC,16,0,207,8.9,16.5,2.6,3.8,1.4,3.3,7.5,13.2,4.0,8.5,12.5,2.8,2.3,1.0,4.3,5.7,21.7
Robert Covington,PF,30,POR,70,70,2243,3.3,8.2,0.8,1.0,2.2,5.7,1.1,2.5,1.0,6.5,7.5,1.9,1.6,1.3,1.0,3.1,9.5
Torrey Craig,SF,30,TOT,50,8,803,4.9,10.2,0.8,1.0,1.7,4.8,3.1,5.4,2.6,6.3,8.8,2.2,1.3,1.2,1.1,3.7,12.3
Torrey Craig,SF,30,MIL,18,0,201,3.2,8.2,0.2,0.4,1.4,3.9,1.8,4.3,2.3,5.4,7.7,2.9,1.6,1.3,0.9,4.3,8.1
Torrey Craig,SF,30,PHO,32,8,602,5.4,10.8,1.0,1.2,1.9,5.0,3.6,5.8,2.6,6.6,9.2,2.0,1.1,1.1,1.2,3.5,13.7
Jae Crowder,PF,30,PHO,60,42,1648,4.3,10.7,1.2,1.6,3.2,8.3,1.1,2.4,0.7,5.5,6.2,2.8,1.0,0.6,1.2,2.7,13.2
Jarrett Culver,SG,21,MIN,34,7,499,5.0,12.1,2.1,3.5,0.9,3.8,4.0,8.3,2.5,5.1,7.5,1.7,1.2,0.6,2.0,4.2,13.0
Seth Curry,SG,30,PHI,57,57,1638,5.7,12.1,1.5,1.7,2.8,6.2,2.9,6.0,0.2,2.8,3.0,3.4,1.0,0.2,1.4,2.1,15.6
Stephen Curry,PG,32,GSW,63,63,2152,11.0,22.8,6.1,6.6,5.6,13.4,5.4,9.4,0.5,5.3,5.8,6.1,1.3,0.1,3.6,2.0,33.7
Nate Darling,SG,22,CHO,7,0,26,2.8,9.7,4.2,4.2,2.8,9.7,0.0,0.0,1.4,0.0,1.4,1.4,0.0,1.4,1.4,1.4,12.5
Anthony Davis,PF,27,LAL,36,36,1162,9.3,19.0,4.9,6.6,0.8,3.1,8.5,15.9,1.9,6.9,8.9,3.4,1.4,1.8,2.3,1.9,24.4
Ed Davis,C,31,MIN,23,7,299,2.3,5.3,1.2,1.4,0.0,0.0,2.3,5.3,5.5,8.3,13.8,2.5,1.6,1.6,0.8,6.7,5.8
Terence Davis,SG,23,TOT,61,4,1074,6.5,15.3,1.5,1.8,3.3,8.9,3.3,6.3,0.7,4.5,5.2,2.8,1.5,0.5,2.1,3.3,17.9
Terence Davis,SG,23,TOR,34,4,493,6.4,15.3,1.2,1.3,3.2,8.9,3.1,6.4,0.7,4.2,4.8,2.7,1.2,0.5,2.1,3.5,17.1
Terence Davis,SG,23,SAC,27,0,581,6.7,15.2,1.8,2.3,3.3,9.0,3.3,6.3,0.7,4.8,5.5,2.9,1.7,0.4,2.1,3.0,18.5
,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Deck,PF,25,OKC,10,0,212,5.4,11.4,3.1,3.7,0.3,2.5,5.1,8.8,2.7,4.1,6.8,4.1,1.4,0.0,1.0,1.5,14.3
Dewayne Dedmon,C,31,MIA,16,0,210,7.9,11.1,3.4,4.6,0.2,0.9,7.7,10.3,4.8,9.9,14.7,2.1,1.5,1.0,2.2,6.2,19.4
Matthew Dellavedova,PG,30,CLE,13,1,224,2.3,9.0,0.6,0.6,0.6,4.0,1.6,5.0,1.0,2.9,3.9,9.3,0.6,0.2,1.0,3.4,5.8
DeMar DeRozan,PF,31,SAS,61,61,2056,8.0,16.1,6.8,7.7,0.3,1.3,7.6,14.8,0.7,3.8,4.5,7.4,1.0,0.3,2.1,2.2,23.0
Mamadi Diakite,PF,24,MIL,14,1,141,4.1,10.2,2.8,3.6,0.3,2.0,3.8,8.2,2.0,6.6,8.7,2.0,1.8,1.5,0.8,4.1,11.2
Hamidou Diallo,SG-SF,22,TOT,52,9,1226,6.6,13.8,3.8,5.9,0.8,2.4,5.8,11.4,1.7,6.3,8.0,3.0,1.2,0.7,2.2,3.9,17.7
Hamidou Diallo,SG,22,OKC,32,5,761,6.8,14.0,3.9,6.2,0.6,1.9,6.2,12.1,1.8,6.1,7.8,3.6,1.5,0.6,2.3,3.9,18.0
Hamidou Diallo,SF,22,DET,20,4,465,6.3,13.4,3.5,5.3,1.2,3.2,5.0,10.2,1.7,6.6,8.3,1.9,0.8,0.9,2.1,3.9,17.3
Gorgui Dieng,C,31,TOT,38,1,552,5.5,10.6,3.8,4.4,2.0,4.6,3.6,6.1,2.6,6.5,9.1,3.1,1.7,1.0,2.1,3.7,16.8
Gorgui Dieng,C,31,MEM,22,1,371,5.4,10.5,3.7,4.2,2.2,4.7,3.2,5.8,2.7,6.8,9.5,2.8,1.6,1.4,2.1,3.7,16.8
Gorgui Dieng,C,31,SAS,16,0,181,5.8,10.9,4.0,4.8,1.4,4.4,4.4,6.6,2.4,6.0,8.4,3.8,1.8,0.4,2.0,3.6,16.9
Spencer Dinwiddie,SG,27,BRK,3,3,64,3.4,9.0,3.4,3.4,1.1,3.9,2.3,5.1,0.0,7.3,7.3,5.1,1.1,0.6,2.8,2.3,11.3
Donte DiVincenzo,SG,24,MIL,66,66,1814,5.0,12.0,1.0,1.4,2.6,6.9,2.4,5.1,1.6,5.9,7.5,4.0,1.4,0.3,1.8,2.2,13.7
Luka Dončić,PG,21,DAL,66,66,2262,10.3,21.5,5.5,7.5,3.1,8.7,7.2,12.8,0.9,7.5,8.4,9.0,1.0,0.6,4.5,2.4,29.1
Luguentz Dort,SG,21,OKC,52,52,1543,5.8,14.9,2.8,3.8,2.6,7.7,3.1,7.2,0.9,3.5,4.4,2.1,1.0,0.4,1.8,3.1,17.0
Damyean Dotson,SG,26,CLE,46,7,907,4.7,11.6,1.0,1.4,1.8,6.3,2.9,5.3,0.2,3.5,3.7,3.6,0.6,0.2,1.7,1.7,12.2
Devon Dotson,PG,21,CHI,11,0,50,7.9,15.1,0.0,0.0,0.7,5.0,7.2,10.1,1.4,2.2,3.6,5.0,2.9,0.0,0.0,2.2,16.6
Sekou Doumbouya,PF,20,DET,56,11,869,4.4,11.7,1.9,2.7,1.1,4.8,3.4,6.9,1.6,4.3,5.9,1.9,1.0,0.4,1.8,3.9,11.8
PJ Dozier,SG,24,DEN,50,6,1088,4.9,11.7,1.4,2.2,1.6,4.9,3.3,6.8,1.2,4.9,6.0,3.0,1.0,0.7,1.5,2.8,12.7
Goran Dragić,PG,34,MIA,50,11,1337,6.5,14.9,2.7,3.3,2.5,6.6,4.0,8.4,0.7,3.9,4.6,5.9,0.9,0.2,3.2,3.0,18.1
Andre Drummond,C,27,TOT,46,46,1242,8.2,16.6,3.6,5.9,0.0,0.2,8.2,16.3,4.8,11.2,16.0,2.7,1.8,1.4,3.6,4.3,19.9
Andre Drummond,C,27,CLE,25,25,722,9.0,18.9,3.8,6.4,0.0,0.4,9.0,18.5,5.0,11.8,16.8,3.2,2.0,1.4,4.0,3.4,21.8
Andre Drummond,C,27,LAL,21,21,520,7.1,13.3,3.2,5.3,0.0,0.0,7.1,13.3,4.5,10.3,14.8,2.1,1.6,1.4,3.0,5.5,17.3
Jared Dudley,PF,35,LAL,12,0,81,0.9,4.0,0.0,0.0,0.9,2.7,0.0,1.3,1.8,7.6,9.3,2.2,0.4,0.4,0.9,3.1,2.7
Kris Dunn,PG,26,ATL,4,0,45,0.8,9.6,2.4,3.2,0.0,1.6,0.8,8.0,0.0,4.8,4.8,1.6,1.6,1.6,2.4,8.0,4.0
Kevin Durant,PF,32,BRK,35,32,1157,10.1,18.8,6.5,7.4,2.6,5.9,7.4,12.9,0.4,7.3,7.7,6.1,0.8,1.4,3.7,2.2,29.3
,,,,,,,,,,,,,,,,,,,,,,,
Anthony Edwards,SG,19,MIN,72,55,2314,7.9,18.8,3.3,4.2,2.7,8.1,5.2,10.8,0.9,4.3,5.2,3.3,1.3,0.6,2.5,2.0,21.7
Carsen Edwards,SG,22,BOS,31,1,276,6.1,14.5,1.4,1.7,2.3,8.2,3.8,6.3,0.4,3.0,3.4,1.8,0.9,0.1,0.9,3.3,16.0
CJ Elleby,SF,20,POR,30,0,192,4.7,12.4,2.1,2.8,1.3,6.4,3.4,6.0,2.1,3.9,6.0,1.9,1.1,0.6,0.9,5.1,12.7
Henry Ellenson,PF,24,TOR,2,0,38,4.7,13.3,2.8,3.8,1.9,8.5,2.8,4.7,2.8,8.5,11.4,4.7,0.0,0.0,0.0,6.6,14.2
Wayne Ellington,SG,33,DET,46,31,1012,5.3,12.0,1.0,1.2,4.1,9.8,1.2,2.2,0.4,2.6,3.0,2.4,0.6,0.3,1.2,2.1,15.7
Joel Embiid,C,26,PHI,51,51,1585,10.5,20.4,10.7,12.4,1.3,3.5,9.2,16.9,2.6,9.7,12.2,3.3,1.1,1.6,3.6,2.8,33.0
James Ennis,SF,30,ORL,41,37,986,4.2,8.9,2.6,3.2,1.6,3.8,2.6,5.1,1.6,4.5,6.1,2.3,1.2,0.3,1.3,3.1,12.6
Drew Eubanks,C,23,SAS,54,3,755,5.5,9.8,3.7,5.1,0.1,0.1,5.4,9.7,3.5,8.0,11.5,2.0,0.9,2.3,2.1,4.2,14.8
Dante Exum,SG,25,CLE,6,3,116,3.1,8.1,0.3,0.6,0.6,3.4,2.5,4.7,0.6,4.7,5.3,4.0,1.2,0.6,2.2,2.8,7.1
Tacko Fall,C,25,BOS,19,0,136,5.6,7.7,1.3,4.0,0.0,0.0,5.6,7.7,4.2,9.5,13.8,0.8,0.3,5.3,1.6,5.8,12.4
Derrick Favors,C,29,UTA,68,0,1039,5.4,8.4,2.0,2.8,0.0,0.1,5.4,8.4,4.8,8.2,13.0,1.5,1.1,2.4,1.2,5.0,12.8
Cristiano Felício,C,28,CHI,18,0,84,3.0,5.6,3.9,6.9,0.0,0.9,3.0,4.7,4.3,6.9,11.1,3.9,1.7,0.0,1.7,4.3,9.9
Terrance Ferguson,SG,22,PHI,13,0,49,0.7,5.1,0.0,0.0,0.0,3.7,0.7,1.5,0.0,0.7,0.7,1.5,0.7,0.0,2.9,5.1,1.5
Bruno Fernando,C,22,ATL,33,0,226,2.9,7.0,2.4,3.5,0.0,0.3,2.9,6.7,2.5,9.9,12.4,1.6,0.6,0.5,3.3,3.7,8.1
Yogi Ferrell,PG,27,TOT,10,0,136,5.3,15.1,1.9,2.4,2.4,7.4,2.9,7.7,1.3,3.7,5.0,5.8,1.9,0.8,0.8,2.9,14.8
Yogi Ferrell,PG,27,CLE,2,0,40,7.2,18.9,0.0,1.8,2.7,8.1,4.5,10.8,2.7,3.6,6.3,4.5,2.7,0.9,2.7,3.6,17.1
Yogi Ferrell,PG,27,LAC,8,0,96,4.5,13.5,2.6,2.6,2.3,7.1,2.3,6.4,0.7,3.7,4.5,6.4,1.5,0.7,0.0,2.6,13.9
Dorian Finney-Smith,PF,27,DAL,60,60,1921,4.1,8.7,0.6,0.8,2.2,5.7,1.9,3.1,1.8,4.3,6.1,1.9,1.0,0.5,0.9,2.6,11.1
Malik Fitts,PF,23,LAC,3,0,11,3.3,9.8,0.0,0.0,3.3,6.5,0.0,3.3,0.0,9.8,9.8,0.0,0.0,0.0,0.0,9.8,9.8
Malachi Flynn,PG,22,TOR,47,14,928,4.9,13.2,1.7,2.2,2.1,6.5,2.8,6.7,0.4,4.1,4.5,5.3,1.5,0.3,1.7,2.6,13.7
Bryn Forbes,SG,27,MIL,70,10,1354,6.6,14.1,1.2,1.6,4.1,9.1,2.6,5.0,0.3,2.7,3.0,1.2,0.6,0.0,1.2,2.0,18.6
Trent Forrest,PG,22,UTA,30,0,302,3.8,8.5,2.3,2.3,0.6,3.1,3.2,5.4,1.3,3.9,5.2,5.4,1.1,0.5,2.5,2.6,10.5
,,,,,,,,,,,,,,,,,,,,,,,
Evan Fournier,SF-SG,28,TOT,42,36,1259,7.1,15.5,3.1,3.9,3.3,8.1,3.7,7.4,0.3,3.4,3.7,4.1,1.3,0.5,2.1,2.7,20.6
Evan Fournier,SF,28,ORL,26,26,787,7.8,16.9,4.5,5.6,3.3,8.6,4.4,8.3,0.2,3.2,3.4,4.3,1.2,0.4,2.5,2.5,23.4
Evan Fournier,SG,28,BOS,16,10,472,5.9,13.1,0.8,1.1,3.4,7.2,2.5,5.9,0.4,3.7,4.0,3.7,1.5,0.8,1.4,3.1,15.9
De'Aaron Fox,PG,23,SAC,58,58,2036,9.4,19.6,5.3,7.4,1.8,5.7,7.5,14.0,0.6,3.0,3.6,7.4,1.5,0.5,3.1,3.0,25.8
Robert Franks,PF,24,ORL,7,0,101,4.6,10.0,4.3,4.6,1.8,5.3,2.9,4.6,2.1,2.9,5.0,1.8,1.1,1.1,0.7,2.9,15.3
Tim Frazier,PG,30,MEM,5,0,62,1.7,11.6,1.2,3.5,0.0,4.6,1.7,7.0,0.0,4.6,4.6,9.3,1.2,0.6,2.3,4.1,4.6
Markelle Fultz,PG,22,ORL,8,8,215,6.9,17.4,2.8,3.2,0.7,2.7,6.2,14.7,0.8,3.3,4.2,7.2,1.3,0.3,3.0,3.0,17.2
Wenyen Gabriel,PF,23,NOP,21,0,241,3.6,9.0,1.6,2.5,1.9,4.8,1.6,4.2,3.0,5.1,8.1,1.6,1.3,1.2,2.2,4.8,10.8
Daniel Gafford,PF-C,22,TOT,54,11,791,7.0,10.2,3.3,4.9,0.0,0.0,7.0,10.2,4.3,6.2,10.5,1.3,1.2,3.4,1.9,4.5,17.3
Daniel Gafford,PF,22,CHI,31,11,383,5.6,8.2,2.5,3.9,0.0,0.0,5.6,8.2,4.1,5.5,9.7,1.6,1.0,3.2,2.1,5.1,13.8
Daniel Gafford,C,22,WAS,23,0,408,8.3,12.2,4.0,5.9,0.0,0.0,8.3,12.2,4.4,6.9,11.3,1.1,1.3,3.6,1.7,3.9,20.6
Danilo Gallinari,PF,32,ATL,51,4,1222,6.1,14.0,4.7,5.1,3.0,7.5,3.0,6.5,0.5,5.7,6.2,2.2,0.9,0.3,1.3,3.1,19.9
Langston Galloway,SG,29,PHO,40,0,438,5.4,12.1,1.8,1.9,3.0,7.0,2.5,5.1,0.6,2.9,3.5,2.1,0.7,0.0,1.1,2.1,15.6
Darius Garland,PG,21,CLE,54,50,1790,7.3,16.1,2.3,2.7,2.1,5.3,5.2,10.8,0.5,2.1,2.6,6.6,1.3,0.1,3.3,2.2,18.9
Marc Gasol,C,36,LAL,52,42,993,3.2,7.0,1.3,1.8,1.8,4.4,1.4,2.6,1.4,6.4,7.8,4.0,0.9,2.1,1.9,4.2,9.5
Rudy Gay,PF,34,SAS,63,1,1358,7.0,16.6,2.2,2.7,2.8,7.4,4.2,9.3,1.1,6.9,8.0,2.3,1.2,1.1,1.7,3.0,19.0
Paul George,SF,30,LAC,54,54,1821,8.8,18.8,3.9,4.5,3.4,8.2,5.4,10.6,0.9,6.2,7.1,5.5,1.2,0.5,3.5,2.6,24.9
Taj Gibson,PF,35,NYK,45,3,936,3.8,6.1,1.5,2.1,0.1,0.6,3.7,5.5,3.8,5.8,9.6,1.4,1.2,1.9,0.8,3.8,9.3
Harry Giles,C,22,POR,38,0,348,4.3,10.0,1.7,2.8,0.8,2.4,3.5,7.7,3.2,10.6,13.8,3.0,0.8,1.3,2.1,5.6,11.2
Shai Gilgeous-Alexander,SG,22,OKC,35,35,1180,8.8,17.2,5.6,7.0,2.2,5.2,6.6,12.1,0.6,4.5,5.1,6.3,0.8,0.7,3.2,2.1,25.3
Anthony Gill,PF,28,WAS,26,4,218,5.0,9.9,2.1,2.6,1.2,4.0,3.8,5.9,2.6,5.8,8.4,1.8,1.7,0.7,1.3,4.5,13.2
Freddie Gillespie,PF,23,TOR,20,2,392,4.0,7.7,2.1,3.0,0.0,0.0,4.0,7.7,3.9,5.1,8.9,0.8,1.2,1.8,1.1,3.9,10.2
Rudy Gobert,C,28,UTA,71,71,2187,6.4,9.5,3.8,6.2,0.0,0.1,6.4,9.5,4.0,11.9,15.8,1.5,0.7,3.1,1.9,2.7,16.7
Brandon Goodwin,PG,25,ATL,47,5,620,4.9,12.9,1.6,2.5,1.9,6.0,3.0,7.0,0.5,3.5,4.0,5.5,1.0,0.0,2.1,2.4,13.2
,,,,,,,,,,,,,,,,,,,,,,,
Aaron Gordon,PF,25,TOT,50,50,1384,6.0,13.0,2.5,3.9,1.5,4.6,4.5,8.4,2.0,5.4,7.4,4.2,0.9,0.9,2.5,2.3,16.1
Aaron Gordon,PF,25,ORL,25,25,736,6.3,14.3,3.2,5.1,2.1,5.5,4.2,8.9,1.9,6.2,8.1,5.1,0.8,1.0,3.3,2.4,17.8
Aaron Gordon,PF,25,DEN,25,25,648,5.7,11.4,1.7,2.4,0.9,3.6,4.8,7.9,2.1,4.4,6.6,3.1,0.9,0.8,1.7,2.2,14.1
Eric Gordon,SG,32,HOU,27,13,789,7.3,16.7,4.3,5.2,3.1,9.6,4.1,7.2,0.4,2.3,2.6,3.2,0.6,0.6,2.3,2.0,21.9
Devonte' Graham,PG,25,CHO,55,44,1659,5.5,14.5,2.9,3.4,3.9,10.4,1.6,4.2,0.5,2.7,3.2,6.4,1.0,0.1,1.8,1.7,17.7
Jerami Grant,SF,26,DET,54,54,1829,7.9,18.3,5.7,6.8,2.3,6.5,5.6,11.9,0.7,4.2,4.9,3.0,0.7,1.1,2.1,2.5,23.7
Danny Green,SF,33,PHI,69,69,1934,4.2,10.1,0.6,0.7,3.3,8.0,0.9,2.1,1.0,3.8,4.8,2.2,1.7,1.0,1.2,2.3,12.2
Draymond Green,PF,30,GSW,63,63,1982,3.1,6.9,1.3,1.6,0.6,2.3,2.5,4.6,1.0,7.2,8.2,10.1,1.9,0.9,3.4,3.5,8.1
JaMychal Green,PF,30,DEN,58,5,1120,5.6,12.0,1.5,1.8,2.5,6.4,3.0,5.7,2.7,6.2,8.9,1.7,0.8,0.7,1.7,4.6,15.1
Javonte Green,SG-PG,27,TOT,41,2,473,4.0,7.8,2.3,3.0,0.8,2.3,3.3,5.5,2.0,3.4,5.4,1.3,2.1,0.5,1.4,3.4,11.1
Javonte Green,SG,27,BOS,25,2,345,4.1,7.4,2.1,3.1,0.7,2.3,3.3,5.1,2.1,3.3,5.4,1.1,1.9,0.2,1.4,3.3,11.0
Javonte Green,PG,27,CHI,16,0,128,3.9,8.7,2.8,2.8,0.8,2.3,3.1,6.5,1.7,3.7,5.3,1.7,2.8,1.1,1.7,3.7,11.5
Jeff Green,C,34,BRK,68,38,1835,5.1,10.4,2.5,3.2,2.0,4.9,3.1,5.5,0.7,4.5,5.2,2.1,0.7,0.5,1.1,2.4,14.7
Josh Green,SG,20,DAL,39,5,445,3.4,7.5,1.1,1.9,0.3,2.0,3.1,5.5,2.3,4.0,6.3,2.3,1.3,0.2,1.4,2.8,8.2
Blake Griffin,PF,31,TOT,46,30,1186,5.3,12.5,2.6,3.6,2.1,6.2,3.2,6.3,1.1,5.8,6.8,4.2,1.0,0.5,1.9,3.4,15.3
Blake Griffin,PF,31,DET,20,20,626,4.7,12.8,2.5,3.6,2.2,7.1,2.4,5.6,0.4,5.6,6.0,4.4,0.8,0.1,1.8,2.4,14.1
Blake Griffin,PF,31,BRK,26,10,560,6.0,12.2,2.8,3.5,2.0,5.2,4.0,6.9,1.8,6.0,7.8,4.1,1.2,0.8,1.9,4.4,16.7
Kyle Guy,PG,23,SAC,31,0,235,4.4,13.5,2.5,3.1,2.0,7.0,2.5,6.4,0.8,4.6,5.4,4.9,0.9,0.0,1.7,3.1,13.3
Rui Hachimura,PF,22,WAS,57,57,1797,6.2,13.0,2.5,3.2,0.9,2.7,5.3,10.2,1.0,5.3,6.3,1.6,0.9,0.1,1.4,2.4,15.8
Ashton Hagans,PG,21,MIN,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
Tyrese Haliburton,PG,20,SAC,58,20,1746,6.0,12.8,1.0,1.2,2.5,6.1,3.5,6.7,0.8,2.8,3.6,6.4,1.6,0.6,1.9,1.7,15.5
Donta Hall,PF,23,ORL,13,0,179,5.0,7.0,4.6,6.8,0.0,0.0,5.0,7.0,4.8,7.6,12.5,2.2,1.0,2.0,1.6,3.6,14.7
Josh Hall,SF,20,OKC,21,1,336,3.2,10.6,2.4,4.7,0.4,4.0,2.8,6.6,0.6,5.7,6.3,3.0,0.4,0.1,2.7,4.0,9.2
R.J. Hampton,SG-PG,19,TOT,51,1,888,5.5,12.7,2.2,3.3,1.1,3.5,4.4,9.2,1.2,6.1,7.3,3.5,0.9,0.4,2.1,2.5,14.4
R.J. Hampton,PG,19,DEN,25,0,233,3.9,9.3,1.4,1.9,0.8,2.8,3.1,6.5,1.5,6.2,7.7,2.2,0.8,0.3,1.7,3.4,9.9
R.J. Hampton,SG,19,ORL,26,1,655,6.1,13.9,2.5,3.8,1.2,3.8,4.9,10.1,1.0,6.0,7.1,4.0,0.9,0.4,2.3,2.1,15.9
Tim Hardaway Jr.,SG,28,DAL,70,31,1985,7.4,16.5,2.6,3.2,3.8,9.6,3.6,6.9,0.4,3.8,4.2,2.3,0.6,0.2,1.2,2.0,21.1
James Harden,PG-SG,31,TOT,44,43,1609,7.7,16.4,6.2,7.2,2.7,7.5,4.9,8.9,0.8,7.0,7.8,10.6,1.2,0.7,4.0,2.2,24.2
James Harden,SG,31,HOU,8,8,290,7.4,16.8,6.6,7.4,3.1,8.9,4.3,7.8,0.6,4.5,5.1,10.3,0.9,0.7,4.2,1.7,24.6
James Harden,PG,31,BRK,36,35,1319,7.7,16.3,6.1,7.2,2.6,7.2,5.1,9.2,0.8,7.6,8.4,10.7,1.3,0.7,3.9,2.3,24.2
,,,,,,,,,,,,,,,,,,,,,,,
Maurice Harkless,PF-SF,27,TOT,37,23,772,3.2,7.7,1.5,2.0,1.1,3.9,2.1,3.8,0.6,3.5,4.2,2.1,1.4,0.9,1.0,4.0,9.0
Maurice Harkless,SF,27,MIA,11,3,124,1.5,3.8,0.0,0.6,1.5,3.2,0.0,0.6,0.6,3.2,3.8,2.0,0.6,1.2,0.9,4.1,4.4
Maurice Harkless,PF,27,SAC,26,20,648,3.6,8.4,1.8,2.3,1.0,4.1,2.6,4.4,0.6,3.6,4.2,2.1,1.6,0.9,1.1,4.0,9.9
Jared Harper,PG,23,NYK,8,0,16,0.0,9.0,6.8,9.0,0.0,2.3,0.0,6.8,0.0,4.5,4.5,2.3,0.0,0.0,6.8,2.3,6.8
Montrezl Harrell,C,27,LAL,69,1,1580,8.5,13.7,4.1,5.8,0.0,0.2,8.5,13.5,3.6,6.2,9.8,1.7,1.0,1.1,1.7,2.9,21.2
Gary Harris,SG,26,TOT,39,38,1080,4.6,11.5,2.1,2.6,1.6,4.7,3.0,6.8,0.7,1.9,2.6,2.6,0.9,0.4,1.2,2.4,12.9
Gary Harris,SG,26,DEN,19,19,581,4.3,9.7,1.4,1.9,1.5,4.6,2.8,5.0,0.8,2.1,2.9,2.0,1.1,0.2,0.9,2.3,11.4
Gary Harris,SG,26,ORL,20,19,499,5.0,13.6,3.0,3.5,1.7,4.8,3.2,8.9,0.6,1.7,2.3,3.3,0.8,0.5,1.7,2.5,14.7
Jalen Harris,SG,22,TOR,13,2,172,7.5,15.1,1.5,1.9,3.6,7.5,4.0,7.5,0.6,3.1,3.8,3.6,1.7,0.0,2.9,3.1,20.1
Joe Harris,SF,29,BRK,69,65,2141,6.0,11.9,0.8,1.1,3.5,7.5,2.5,4.4,0.7,3.4,4.2,2.2,0.8,0.2,1.0,2.4,16.4
Tobias Harris,PF,28,PHI,62,62,2014,8.5,16.5,3.3,3.6,1.5,3.7,7.0,12.8,1.1,6.4,7.5,3.9,1.0,0.9,1.9,2.1,21.6
Shaquille Harrison,SG,27,TOT,34,0,333,2.8,8.4,1.9,2.4,0.3,1.7,2.5,6.7,0.8,4.4,5.2,2.7,1.8,0.5,1.2,3.6,7.9
Shaquille Harrison,SG,27,UTA,17,0,56,3.9,12.9,3.2,3.9,0.0,1.3,3.9,11.6,1.9,3.9,5.8,5.8,1.3,0.0,3.2,1.9,10.9
Shaquille Harrison,SG,27,DEN,17,0,277,2.6,7.5,1.7,2.1,0.4,1.8,2.2,5.7,0.5,4.5,5.1,2.1,1.9,0.6,0.8,3.9,7.3
Josh Hart,SF,25,NOP,47,4,1349,4.0,9.2,1.8,2.4,1.7,5.2,2.3,4.0,1.4,8.6,10.1,2.9,1.0,0.3,1.3,3.0,11.6
Isaiah Hartenstein,C,22,TOT,46,2,559,6.1,11.0,3.0,4.6,0.1,0.4,5.9,10.6,4.2,7.5,11.7,3.5,1.2,2.5,2.8,6.7,15.2
Isaiah Hartenstein,C,22,DEN,30,0,272,5.4,10.6,2.9,4.8,0.0,0.0,5.4,10.6,5.3,6.0,11.3,2.0,1.5,2.6,2.8,7.8,13.8
Isaiah Hartenstein,C,22,CLE,16,2,287,6.6,11.4,3.0,4.4,0.3,0.8,6.4,10.7,3.1,8.9,12.0,5.0,1.0,2.4,2.9,5.6,16.6
Udonis Haslem,C,40,MIA,1,0,3,24.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,48.0
Jaxson Hayes,C,20,NOP,60,3,964,6.5,10.5,3.5,4.5,0.2,0.5,6.3,9.9,3.4,6.2,9.6,1.3,0.9,1.4,1.5,3.8,16.8
Killian Hayes,PG,19,DET,26,18,670,3.8,10.8,0.8,0.9,1.1,3.9,2.7,6.9,0.3,3.4,3.7,7.4,1.5,0.5,4.5,3.1,9.5
