Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Gordon Hayward,SF,30,CHO,44,44,1496,7.5,15.8,3.8,4.5,2.0,4.9,5.4,10.9,0.9,5.3,6.2,4.4,1.3,0.3,2.2,1.8,20.8
Juan Hernangómez,PF,25,MIN,52,6,900,5.2,12.0,2.4,3.9,2.2,6.7,3.0,5.2,1.8,6.4,8.2,1.4,0.8,0.3,1.1,2.1,15.0
Willy Hernangómez,C,26,NOP,47,12,846,6.4,11.4,2.6,4.0,0.0,0.4,6.4,11.0,5.0,9.2,14.2,2.1,0.9,1.0,1.4,2.9,15.5
Tyler Herro,SG,21,MIA,54,15,1635,6.8,15.4,2.1,2.6,2.4,6.5,4.4,8.9,0.6,5.4,5.9,4.1,0.8,0.4,2.2,1.6,17.9
Buddy Hield,SG,28,SAC,71,71,2433,6.0,14.7,1.3,1.5,4.2,10.7,1.8,4.0,0.4,4.5,4.9,3.8,0.9,0.4,1.9,2.6,17.4
George Hill,PG,34,TOT,30,17,672,5.1,10.6,2.1,2.7,1.7,4.3,3.4,6.3,0.9,2.4,3.3,3.9,1.2,0.3,1.7,1.7,14.0
George Hill,PG,34,OKC,14,14,369,6.0,11.7,2.0,2.4,2.1,5.6,3.8,6.1,0.8,2.0,2.8,4.2,1.2,0.2,1.2,1.2,16.1
George Hill,PG,34,PHI,16,3,303,4.0,9.1,2.3,3.0,1.1,2.7,3.0,6.4,1.0,2.9,3.8,3.6,1.3,0.4,2.3,2.3,11.4
Solomon Hill,PF,29,ATL,71,16,1513,2.5,7.1,0.8,1.1,1.6,5.0,0.9,2.0,1.0,4.1,5.1,1.8,1.2,0.3,1.0,2.8,7.5
,,,,,,,,,,,,,,,,,,,,,,,
Nate Hinton,SG,21,DAL,21,0,93,5.8,16.3,2.7,3.9,1.5,7.4,4.3,8.9,0.4,3.1,3.5,3.1,2.7,0.8,1.9,3.1,15.9
Jaylen Hoard,SF,21,OKC,19,0,320,5.0,9.9,3.2,4.6,0.0,1.2,5.0,8.7,2.4,5.0,7.3,2.7,1.5,0.6,1.9,2.1,13.1
Aaron Holiday,PG,24,IND,66,8,1176,5.2,13.3,2.1,2.5,2.1,5.6,3.2,7.8,0.5,2.3,2.7,3.8,1.4,0.4,2.0,2.9,14.5
Jrue Holiday,PG,30,MIL,59,56,1907,7.8,15.5,2.0,2.6,2.1,5.3,5.7,10.2,1.4,3.7,5.1,6.7,1.8,0.7,2.4,1.9,19.7
Justin Holiday,SG,31,IND,72,52,2183,4.3,10.3,1.1,1.4,2.9,7.5,1.4,2.8,0.5,3.7,4.2,2.0,1.2,0.7,0.9,2.2,12.5
Rondae Hollis-Jefferson,PF,26,POR,11,1,107,3.0,6.1,3.0,5.4,0.0,0.3,3.0,5.7,3.7,5.0,8.7,4.4,0.7,1.3,0.7,5.0,9.1
Richaun Holmes,C,27,SAC,61,61,1782,7.4,11.6,2.7,3.4,0.0,0.2,7.4,11.4,2.9,7.3,10.2,2.0,0.8,1.9,1.5,4.3,17.6
Rodney Hood,SF,28,TOT,55,5,942,3.6,9.9,0.9,1.1,1.3,4.3,2.3,5.6,0.9,3.1,3.9,2.0,0.9,0.3,1.4,2.8,9.4
Rodney Hood,SF,28,POR,38,5,726,3.6,10.0,0.4,0.6,1.2,4.2,2.4,5.8,0.9,2.7,3.6,2.3,1.0,0.2,1.5,2.9,8.9
Rodney Hood,SF,28,TOR,17,0,216,3.5,9.8,2.5,2.7,1.5,4.8,2.0,5.0,0.8,4.2,5.0,1.0,0.7,0.5,0.8,2.5,11.0
Al Horford,C,34,OKC,28,28,782,7.5,16.6,0.8,1.0,2.6,7.0,4.9,9.6,1.3,7.3,8.7,4.3,1.2,1.2,1.3,2.2,18.3
Talen Horton-Tucker,SG,20,LAL,65,4,1304,6.2,13.5,2.8,3.6,1.0,3.6,5.2,9.9,0.7,4.0,4.7,5.0,1.7,0.6,2.9,3.5,16.2
Danuel House,SF,27,HOU,36,23,932,4.2,10.5,1.6,2.4,2.1,6.0,2.2,4.5,0.7,4.4,5.1,2.7,0.8,0.6,1.4,2.6,12.2
Dwight Howard,C,35,PHI,69,6,1196,5.4,9.1,3.6,6.3,0.2,0.6,5.2,8.5,5.7,11.7,17.5,1.8,0.9,1.9,3.4,6.0,14.5
Markus Howard,SG,21,DEN,37,1,205,7.0,18.6,1.2,1.6,3.2,11.4,3.9,7.2,0.2,3.5,3.7,3.2,0.7,0.2,3.2,4.0,18.4
Kevin Huerter,SG,22,ATL,69,49,2126,5.4,12.4,0.8,1.1,2.4,6.5,3.0,5.8,0.6,3.3,3.9,4.1,1.4,0.3,1.3,2.8,13.9
Elijah Hughes,SF,22,UTA,18,0,64,5.6,16.9,1.7,2.3,4.5,12.9,1.1,3.9,0.6,4.5,5.1,3.4,0.6,0.6,3.4,0.6,17.4
De'Andre Hunter,SF,23,ATL,23,19,678,6.4,13.2,3.9,4.5,1.6,5.0,4.7,8.1,0.9,4.9,5.8,2.3,1.0,0.6,1.5,3.1,18.3
Chandler Hutchison,SF,24,TOT,25,1,346,4.1,10.7,2.2,2.6,0.8,2.3,3.2,8.4,0.6,7.5,8.1,1.8,1.2,0.5,2.1,3.4,11.1
Chandler Hutchison,SF,24,CHI,7,0,64,2.8,10.1,1.1,1.1,0.6,1.7,2.3,8.4,0.6,10.7,11.3,2.3,0.6,0.0,2.8,5.1,7.3
Chandler Hutchison,SF,24,WAS,18,1,282,4.3,10.9,2.4,2.9,0.9,2.4,3.4,8.4,0.6,6.8,7.4,1.7,1.4,0.6,1.9,3.1,12.0
Serge Ibaka,C,31,LAC,41,39,955,7.0,13.8,1.6,2.0,1.5,4.3,5.5,9.4,2.8,7.6,10.4,2.8,0.3,1.8,1.7,2.9,17.1
Andre Iguodala,SF,37,MIA,63,5,1339,2.6,6.7,0.7,1.0,1.6,4.9,0.9,1.8,1.0,4.9,5.9,3.8,1.5,0.9,1.8,2.4,7.4
Ersan İlyasova,PF,33,UTA,17,1,148,5.1,13.1,1.2,1.2,4.4,10.0,0.7,3.2,1.7,5.4,7.1,1.0,2.4,0.7,1.9,7.1,15.8
,,,,,,,,,,,,,,,,,,,,,,,
Joe Ingles,SF,33,UTA,67,30,1867,5.3,10.8,1.5,1.7,3.5,7.8,1.8,3.0,0.5,4.2,4.7,6.1,0.9,0.2,2.3,2.3,15.6
Brandon Ingram,SF,23,NOP,61,61,2093,8.8,18.9,4.8,5.5,2.5,6.5,6.4,12.5,0.6,4.6,5.1,5.1,0.7,0.6,2.6,2.1,24.9
Kyrie Irving,PG,28,BRK,54,54,1886,10.5,20.7,3.8,4.2,2.9,7.2,7.6,13.5,1.0,3.9,4.9,6.2,1.5,0.7,2.5,2.7,27.7
Wesley Iwundu,SF,26,TOT,41,4,539,2.3,6.8,1.7,2.1,0.3,2.7,1.9,4.1,1.0,5.0,6.0,1.2,1.0,0.3,1.3,3.3,6.6
Wesley Iwundu,SF,26,DAL,23,3,288,2.1,6.5,1.5,1.7,0.4,2.9,1.7,3.6,0.7,4.7,5.5,1.2,1.1,0.4,0.7,3.2,6.1
Wesley Iwundu,SF,26,NOP,18,1,251,2.4,7.2,2.0,2.4,0.3,2.6,2.2,4.6,1.3,5.3,6.6,1.1,0.9,0.1,1.9,3.3,7.2
Frank Jackson,PG,22,DET,40,6,738,6.5,14.3,3.0,3.7,3.0,7.3,3.6,7.0,0.7,3.5,4.2,1.8,0.7,0.0,1.7,2.6,19.0
Jaren Jackson Jr.,C,21,MEM,11,4,258,7.4,17.4,4.9,5.9,2.4,8.4,5.0,9.1,2.4,6.3,8.7,1.7,1.7,2.5,2.1,5.9,22.0
Josh Jackson,SG,23,DET,62,25,1560,6.8,16.3,3.7,5.0,1.8,5.9,5.1,10.4,1.3,4.5,5.9,3.3,1.2,1.1,3.3,4.1,19.1
Justin Jackson,SF,25,TOT,34,3,577,5.6,13.8,1.9,2.3,2.2,7.3,3.3,6.5,1.0,3.8,4.8,3.2,0.9,0.1,2.0,2.0,15.3
Justin Jackson,SF,25,OKC,33,3,544,5.7,14.0,2.0,2.3,2.3,7.3,3.4,6.7,0.9,3.8,4.7,3.4,1.0,0.1,2.1,2.1,15.6
Justin Jackson,SF,25,MIL,1,0,33,3.3,9.8,1.1,2.2,2.2,6.5,1.1,3.3,2.2,4.4,6.5,1.1,0.0,0.0,1.1,1.1,9.8
Reggie Jackson,SG,30,LAC,67,43,1544,6.1,13.6,1.6,1.9,2.8,6.6,3.3,7.1,0.6,3.9,4.5,4.8,1.0,0.2,1.7,3.0,16.7
Justin James,SF,24,SAC,36,0,310,6.0,12.9,2.4,4.2,1.6,4.4,4.4,8.5,1.0,2.4,3.5,2.6,0.9,0.3,1.7,2.7,16.1
LeBron James,PG,36,LAL,45,45,1504,10.1,19.7,4.3,6.1,2.5,6.8,7.6,12.9,0.7,7.6,8.3,8.4,1.1,0.6,4.0,1.7,27.0
Mike James,PG,30,BRK,13,1,236,5.2,14.0,3.2,4.1,1.7,4.7,3.5,9.3,0.5,4.4,4.9,8.2,0.9,0.2,3.1,1.5,15.3
DaQuan Jeffries,SG,23,TOT,31,5,493,3.7,8.8,0.5,0.6,1.5,4.9,2.2,3.9,1.4,3.8,5.2,1.6,1.1,0.7,1.0,3.5,9.3
DaQuan Jeffries,SG,23,SAC,18,2,232,3.7,8.8,0.9,1.1,1.4,4.3,2.3,4.5,1.4,3.1,4.5,0.9,1.1,0.6,1.2,3.6,9.8
DaQuan Jeffries,SG,23,HOU,13,3,261,3.6,8.7,0.1,0.1,1.5,5.4,2.1,3.3,1.4,4.4,5.8,2.2,1.1,0.8,0.8,3.4,8.8
Ty Jerome,SG,23,OKC,33,1,788,5.8,13.1,1.2,1.6,3.2,7.7,2.6,5.4,0.5,3.7,4.2,5.5,0.9,0.3,2.1,2.8,16.1
Isaiah Joe,SG,21,PHI,41,1,383,4.5,12.5,1.7,2.3,3.7,10.0,0.8,2.5,0.6,2.8,3.4,1.9,1.1,0.4,1.0,3.2,14.4
Alize Johnson,PF,24,BRK,18,0,189,7.6,13.0,2.5,2.5,0.2,1.1,7.4,11.8,5.1,12.0,17.1,2.7,1.0,1.0,1.7,3.0,17.9
Cameron Johnson,PF,24,PHO,60,11,1437,5.1,12.1,1.3,1.5,2.9,8.4,2.2,3.7,0.8,4.2,5.0,2.2,0.9,0.4,1.0,2.1,14.4
James Johnson,PF,33,TOT,51,12,1043,5.0,11.3,1.6,2.6,1.1,4.1,4.0,7.1,1.1,5.0,6.1,3.4,1.4,1.4,1.9,4.1,12.7
James Johnson,PF,33,DAL,29,1,504,4.8,10.4,1.2,2.1,1.1,4.3,3.7,6.1,1.0,5.1,6.1,3.6,1.7,1.6,1.9,4.2,11.9
James Johnson,PF,33,NOP,22,11,539,5.3,12.2,1.9,3.1,1.1,4.0,4.2,8.1,1.2,4.9,6.1,3.2,1.2,1.3,1.9,4.1,13.5
Keldon Johnson,SF,21,SAS,69,67,1968,6.2,12.9,2.7,3.6,1.1,3.3,5.1,9.6,1.7,5.8,7.5,2.2,0.7,0.4,1.4,2.6,16.1
Stanley Johnson,PF,24,TOR,61,13,1006,3.2,8.3,1.6,2.0,1.6,4.9,1.6,3.4,1.0,4.4,5.5,3.2,1.9,0.6,1.9,4.2,9.6
,,,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,SG,28,BRK,39,3,684,3.8,9.6,0.9,1.1,2.5,6.9,1.3,2.7,0.3,3.7,4.1,2.5,0.7,0.0,0.9,2.3,11.1
Nikola Jokić,C,25,DEN,72,72,2488,10.6,18.7,4.9,5.7,1.3,3.4,9.3,15.3,3.0,8.3,11.3,8.7,1.4,0.7,3.2,2.8,27.5
Damian Jones,C,25,TOT,39,10,547,4.6,6.8,2.8,3.8,0.1,0.3,4.5,6.4,2.4,5.6,8.0,1.9,0.7,1.9,1.7,5.1,12.0
Damian Jones,C,25,PHO,14,0,94,3.1,6.1,2.3,4.2,0.0,0.4,3.1,5.7,2.7,4.2,6.9,1.5,0.4,1.9,2.3,7.3,8.4
Damian Jones,C,25,LAL,8,6,112,5.1,5.5,3.5,3.9,0.0,0.0,5.1,5.5,2.6,5.8,8.4,0.3,0.3,2.3,1.6,7.1,13.8
Damian Jones,C,25,SAC,17,4,341,4.9,7.4,2.6,3.7,0.1,0.4,4.8,7.0,2.2,5.9,8.1,2.5,1.0,1.8,1.6,3.8,12.5
Derrick Jones Jr.,SF,23,POR,58,43,1318,4.0,8.3,1.6,2.5,1.2,3.7,2.8,4.6,2.1,3.5,5.6,1.3,1.0,1.5,0.9,3.5,10.8
Mason Jones,SG,22,TOT,32,1,334,5.6,13.3,4.3,6.9,2.6,7.1,3.0,6.1,0.8,5.2,5.9,4.5,0.8,0.1,3.1,2.6,18.1
Mason Jones,SG,22,HOU,26,1,307,5.5,13.4,4.1,6.7,2.7,7.5,2.8,5.9,0.5,5.5,6.0,4.6,0.7,0.1,3.3,2.6,17.8
Mason Jones,SG,22,PHI,6,0,27,6.7,12.0,6.7,9.3,1.3,2.7,5.3,9.3,4.0,1.3,5.3,4.0,1.3,0.0,1.3,2.7,21.3
Tre Jones,PG,21,SAS,37,1,269,5.0,10.4,2.3,2.5,0.4,0.7,4.6,9.8,1.1,1.7,2.8,5.2,1.1,0.0,1.7,1.7,12.6
Tyus Jones,PG,24,MEM,70,9,1222,5.2,12.2,1.2,1.3,1.3,4.1,3.9,8.0,0.6,3.5,4.1,7.6,1.9,0.2,1.4,0.9,13.0
DeAndre Jordan,C,32,BRK,57,43,1246,5.5,7.2,1.3,2.7,0.0,0.0,5.5,7.2,3.4,9.0,12.3,2.7,0.5,1.9,2.5,3.4,12.3
Cory Joseph,PG,29,TOT,63,13,1446,5.0,10.6,1.8,2.2,1.1,3.3,3.9,7.3,0.9,3.1,4.0,5.3,1.5,0.4,2.0,3.5,12.9
Cory Joseph,PG,29,SAC,44,2,944,4.2,9.5,1.4,1.8,1.2,3.6,3.1,5.9,1.0,2.8,3.8,4.1,1.5,0.3,1.7,3.7,11.0
Cory Joseph,PG,29,DET,19,11,502,6.4,12.6,2.6,2.9,1.0,2.7,5.4,9.9,0.7,3.6,4.3,7.5,1.6,0.6,2.5,2.9,16.4
Mfiondu Kabengele,PF,23,TOT,39,0,280,4.2,11.4,2.1,2.6,1.7,6.4,2.6,5.0,1.5,6.2,7.7,2.2,1.0,1.7,1.9,4.6,12.2
Mfiondu Kabengele,PF,23,LAC,23,0,94,3.4,12.3,1.9,2.3,1.5,6.9,1.9,5.4,0.4,5.0,5.4,1.9,0.8,1.1,2.3,6.9,10.3
Mfiondu Kabengele,PF,23,CLE,16,0,186,4.6,11.0,2.1,2.7,1.7,6.2,2.9,4.8,2.1,6.8,8.9,2.3,1.2,1.9,1.7,3.5,13.2
Frank Kaminsky,C,27,PHO,47,13,715,6.1,12.9,1.9,3.0,1.6,4.3,4.5,8.7,1.8,7.7,9.5,4.0,0.7,0.9,1.1,3.5,15.6
Enes Kanter,C,28,POR,72,35,1758,6.9,11.5,2.6,3.4,0.0,0.1,6.9,11.4,5.8,10.5,16.3,1.7,0.7,1.0,1.6,3.4,16.5
Luke Kennard,SG,24,LAC,63,17,1232,5.8,12.1,0.8,0.9,2.9,6.5,2.8,5.6,0.4,4.3,4.7,3.0,0.7,0.3,1.4,2.7,15.2
Louis King,SF,21,SAC,6,1,85,7.2,14.4,2.5,2.5,1.7,4.7,5.5,9.7,2.1,5.5,7.6,3.8,3.0,1.3,1.7,3.8,18.6
Maxi Kleber,PF,29,DAL,50,40,1341,3.1,7.4,0.9,1.0,2.3,5.7,0.8,1.7,1.3,5.7,7.0,1.8,0.6,0.9,0.8,2.8,9.5
Nathan Knight,PF,23,ATL,33,0,279,4.8,12.9,5.7,7.1,0.8,4.3,4.0,8.6,3.5,5.8,9.3,1.0,1.2,1.3,1.9,2.8,16.0
Kevin Knox,SF,21,NYK,42,0,464,4.3,11.1,1.2,1.6,2.7,6.9,1.6,4.2,0.8,4.0,4.7,1.5,0.9,0.5,1.3,2.9,12.6
John Konchar,SG,24,MEM,43,0,575,4.3,8.6,1.6,1.9,1.3,3.5,3.0,5.1,2.2,5.8,8.0,2.9,1.9,0.6,1.1,2.5,11.5
Furkan Korkmaz,SG,23,PHI,55,11,1062,5.8,14.4,2.0,2.8,3.4,9.1,2.3,5.3,0.6,3.3,3.8,2.8,1.7,0.3,1.6,2.2,17.0
Luke Kornet,C-PF,25,TOT,31,2,348,4.6,10.4,0.3,0.6,1.6,6.1,3.0,4.3,1.4,5.5,6.9,2.5,0.4,3.3,0.7,2.1,11.0
Luke Kornet,PF,25,CHI,13,0,94,3.4,10.3,0.8,1.5,2.3,8.8,1.1,1.5,0.4,5.4,5.7,1.5,0.8,2.7,0.4,0.4,10.0
Luke Kornet,C,25,BOS,18,2,254,5.0,10.5,0.1,0.3,1.3,5.1,3.7,5.4,1.8,5.5,7.4,2.8,0.3,3.5,0.9,2.7,11.3
,,,,,,,,,,,,,,,,,,,,,,,
Rodions Kurucs,SF-PF,22,TOT,21,0,125,3.2,9.2,0.9,1.2,1.7,6.0,1.4,3.2,1.4,5.2,6.6,2.9,2.6,1.2,3.7,4.6,8.9
Rodions Kurucs,PF,22,BRK,5,0,16,2.3,6.8,0.0,0.0,2.3,4.5,0.0,2.3,0.0,6.8,6.8,4.5,0.0,0.0,0.0,2.3,6.8
Rodions Kurucs,SF,22,HOU,11,0,75,2.4,10.1,0.5,1.0,1.0,7.2,1.4,2.9,1.0,4.3,5.3,1.9,2.9,1.9,4.3,3.4,6.2
Rodions Kurucs,SF,22,MIL,5,0,34,5.3,8.5,2.1,2.1,3.2,4.2,2.1,4.2,3.2,6.4,9.5,4.2,3.2,0.0,4.2,8.5,15.9
Kyle Kuzma,SF,25,LAL,68,32,1954,6.2,13.9,1.2,1.8,2.5,7.0,3.6,6.9,2.0,5.7,7.7,2.3,0.6,0.8,2.1,2.2,16.1
Anthony Lamb,SF,23,HOU,24,3,415,4.0,10.2,1.6,1.8,2.0,6.2,2.0,4.1,2.3,3.7,6.1,2.0,0.5,0.4,1.6,2.9,11.5
Jeremy Lamb,SG,28,IND,36,8,765,5.6,13.0,3.3,3.5,2.4,6.0,3.2,7.0,1.2,5.0,6.2,2.5,1.6,1.1,1.0,3.4,17.1
Romeo Langford,SG,21,BOS,18,4,283,2.7,7.5,1.1,1.5,0.6,2.3,2.0,5.2,1.5,2.9,4.5,1.7,0.8,0.6,1.3,3.1,7.1
Zach LaVine,SG,25,CHI,58,58,2034,10.1,19.9,4.5,5.3,3.5,8.4,6.5,11.4,0.6,4.5,5.1,5.0,0.8,0.5,3.6,2.4,28.2
Jake Layman,SF,26,MIN,45,11,627,5.2,10.6,1.5,2.1,1.3,4.5,3.9,6.1,0.7,3.1,3.8,1.6,1.7,1.1,1.5,2.5,13.3
T.J. Leaf,PF,23,POR,7,0,35,5.1,10.3,2.1,2.1,0.0,0.0,5.1,10.3,0.0,5.1,5.1,1.0,2.1,1.0,2.1,1.0,12.3
Jalen Lecque,PG,20,IND,4,0,12,3.0,27.0,9.0,9.0,0.0,3.0,3.0,24.0,6.0,9.0,15.0,6.0,0.0,0.0,0.0,0.0,15.0
Damion Lee,SG,28,GSW,57,1,1079,4.3,9.1,1.3,1.5,2.6,6.5,1.7,2.7,0.7,5.3,6.0,2.4,1.3,0.3,1.0,3.0,12.4
Saben Lee,PG,21,DET,48,7,781,4.6,9.7,2.8,4.1,0.4,1.1,4.2,8.6,0.9,3.5,4.5,8.0,1.5,0.6,2.5,3.5,12.3
Alex Len,C,27,TOT,64,42,979,6.3,10.2,2.7,4.3,0.3,0.9,6.0,9.3,2.9,6.7,9.6,1.8,0.7,2.4,2.0,4.7,15.6
Alex Len,C,27,TOR,7,2,76,2.4,4.7,1.4,2.8,1.4,2.8,0.9,1.9,0.0,5.2,5.2,1.4,0.5,2.8,3.8,4.7,7.6
Alex Len,C,27,WAS,57,40,903,6.6,10.7,2.8,4.4,0.2,0.8,6.4,9.9,3.1,6.8,9.9,1.8,0.8,2.3,1.9,4.7,16.2
Kawhi Leonard,SF,29,LAC,52,52,1773,9.4,18.4,5.3,6.0,2.1,5.2,7.4,13.3,1.1,5.7,6.8,5.5,1.6,0.4,2.1,1.7,26.2
Meyers Leonard,C,28,MIA,3,2,29,3.7,8.7,1.2,2.5,3.7,8.7,0.0,0.0,0.0,8.7,8.7,2.5,0.0,0.0,2.5,6.2,12.4
Caris LeVert,SG,26,TOT,47,39,1486,8.7,19.7,3.5,4.4,2.0,6.3,6.7,13.5,0.8,4.4,5.2,5.9,1.6,0.7,2.5,2.5,23.0
Caris LeVert,SG,26,BRK,12,4,334,9.4,21.6,2.8,3.7,2.4,6.8,7.0,14.8,1.1,4.5,5.6,7.8,1.4,0.6,2.8,2.2,23.9
Caris LeVert,SG,26,IND,35,35,1152,8.5,19.2,3.7,4.6,1.9,6.1,6.6,13.1,0.7,4.3,5.1,5.4,1.7,0.7,2.4,2.7,22.7
Kira Lewis Jr.,PG,19,NOP,54,0,904,5.2,13.4,1.7,2.0,1.6,4.8,3.6,8.6,0.5,2.3,2.8,4.9,1.5,0.4,1.4,3.5,13.7
Damian Lillard,PG,30,POR,67,67,2398,9.0,20.0,6.7,7.3,4.1,10.6,4.9,9.5,0.5,3.8,4.2,7.6,0.9,0.3,3.0,1.5,28.9
Nassir Little,PF,20,POR,48,2,640,4.4,9.4,2.0,2.5,1.6,4.5,2.8,4.9,1.8,5.4,7.2,1.3,0.3,0.7,1.0,2.9,12.4
Kevon Looney,C,24,GSW,61,34,1161,3.3,6.1,1.0,1.5,0.1,0.5,3.2,5.6,3.6,6.4,10.0,3.7,0.7,0.7,1.1,4.2,7.8
Brook Lopez,C,32,MIL,70,70,1902,6.1,12.1,2.3,2.7,1.8,5.3,4.3,6.8,2.0,4.6,6.6,0.9,0.8,1.9,1.2,2.8,16.3
,,,,,,,,,,,,,,,,,,,,,,,
Robin Lopez,C,32,WAS,71,9,1354,7.2,11.3,2.6,3.6,0.1,0.5,7.0,10.8,3.7,3.5,7.2,1.5,0.4,1.2,2.0,2.9,17.1
Didi Louzada,SF,21,NOP,3,0,56,1.9,8.4,0.0,0.0,1.3,5.1,0.6,3.2,0.6,1.3,1.9,1.9,1.3,0.0,1.9,3.2,5.1
Kevin Love,PF,32,CLE,25,25,622,6.0,14.6,2.4,3.0,3.3,9.0,2.7,5.6,1.0,9.8,10.8,3.6,0.9,0.1,2.2,1.5,17.7
Kyle Lowry,PG,34,TOR,46,46,1601,5.8,13.4,3.1,3.6,2.9,7.4,2.9,6.0,0.8,4.8,5.6,7.6,1.0,0.3,2.8,3.2,17.8
Timothé Luwawu-Cabarrot,SF,25,BRK,58,7,1050,4.5,12.2,1.2,1.5,2.6,8.2,1.9,4.0,1.0,3.5,4.4,2.4,1.1,0.2,1.5,3.4,12.7
Trey Lyles,PF,25,SAS,23,9,358,4.3,9.1,1.5,2.3,1.4,4.0,2.9,5.0,0.9,7.7,8.6,1.4,0.6,0.1,0.6,1.3,11.6
Will Magnay,C,22,NOP,1,0,3,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0
Thon Maker,C,23,CLE,8,0,76,4.7,8.5,4.7,5.2,0.0,0.9,4.7,7.6,3.8,4.7,8.5,1.9,0.9,1.9,1.4,3.3,14.2
Théo Maledon,PG,19,OKC,65,49,1778,4.6,12.4,2.0,2.7,2.1,6.3,2.4,6.1,0.5,3.8,4.3,4.6,1.1,0.2,2.9,2.6,13.3
Karim Mané,PG,20,ORL,10,0,88,1.2,5.3,1.6,2.0,0.4,0.8,0.8,4.5,0.4,5.3,5.7,1.6,0.0,0.8,1.2,4.1,4.5
Terance Mann,SG,24,LAC,67,10,1263,5.1,10.0,2.2,2.7,1.1,2.6,4.0,7.4,1.6,5.3,6.9,3.0,0.8,0.4,1.1,3.6,13.5
Nico Mannion,PG,19,GSW,30,1,364,3.9,11.3,2.3,2.8,2.2,5.9,1.7,5.3,0.6,4.0,4.5,6.9,1.6,0.1,3.1,2.9,12.2
Boban Marjanović,C,32,DAL,33,3,271,8.2,16.2,4.1,5.0,0.1,1.1,8.1,15.1,6.2,10.8,17.0,1.3,0.3,0.8,1.6,3.9,20.7
Lauri Markkanen,PF,23,CHI,51,26,1317,6.8,14.2,2.1,2.5,3.3,8.1,3.6,6.2,1.0,6.4,7.3,1.2,0.7,0.4,1.4,2.1,19.0
Naji Marshall,SF,23,NOP,32,10,700,4.2,10.7,2.7,3.9,1.5,4.3,2.7,6.5,0.8,6.8,7.6,4.5,1.3,0.5,2.0,3.0,12.7
Caleb Martin,SF,25,CHO,53,3,818,4.2,11.3,1.8,2.8,1.4,5.5,2.9,5.8,1.4,4.8,6.2,2.9,1.6,0.5,1.5,2.7,11.6
Cody Martin,SF,25,CHO,52,10,849,3.5,8.0,1.1,1.8,0.7,2.5,2.8,5.5,2.2,4.6,6.8,3.6,1.6,0.5,1.7,2.2,8.8
Jeremiah Martin,PG,24,CLE,9,0,75,4.3,15.8,0.5,2.4,1.4,5.8,2.9,10.1,1.0,2.4,3.4,1.9,2.4,1.0,2.9,0.5,10.6
Kelan Martin,SF,25,IND,35,0,322,6.9,15.4,1.0,1.1,2.7,6.7,4.2,8.7,2.0,6.7,8.7,1.9,1.1,1.1,1.8,3.9,17.6
Kenyon Martin Jr.,SF,20,HOU,45,8,1068,5.5,10.7,2.0,2.8,1.2,3.2,4.3,7.5,2.5,5.7,8.2,1.6,1.0,1.4,1.3,3.0,14.1
,,,,,,,,,,,,,,,,,,,,,,,
Frank Mason III,PG,26,ORL,4,1,79,4.1,10.9,2.3,3.2,0.9,2.3,3.2,8.7,1.4,4.1,5.5,5.5,0.0,0.0,2.3,3.2,11.4
Garrison Mathews,SG,24,WAS,64,24,1038,3.4,8.2,2.9,3.3,2.6,6.9,0.7,1.4,0.6,2.5,3.0,0.9,1.0,0.2,0.3,3.7,12.3
